name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
SELLER_WORKEMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_ADDRESS_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_COMPANY_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
ZI_C_DOMESTIC_PARENT_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_EMPLOYEE_GROWTH_1YR,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_EMPLOYEE_GROWTH_2YR,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_ES_PERCENT_REVENUE_GROWTH,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_EMPLOYEES_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_ESTIMATED_AGE,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
ZI_C_IMMEDIATE_PARENT_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_IS_HQ,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_IS_PUBLIC,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_LOCATION_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
ZI_C_NAICS_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_NAME_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_PHONE_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_REVENUE_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_SIC_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_SUB_INDUSTRY_PRIMARY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_TICKER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_TIER_GRADE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_ULTIMATE_PARENT_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_URL_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
ZI_C_VERIFIED_ADDRESS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_C_YEAR_FOUNDED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZI_ES_INDUSTRY_CONFIDENCE_SCORE,FLOAT,COLUMN,Y,,N,N,,,,,
BZ_CUISINES_CONTINENTAL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BZ_CUISINES_REGIONAL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BZ_ESTABLISHMENT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BZ_HOURS_OPEN,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BZ_LOCATION_METRO_AREA,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_CURRENT_CUSTOMER,BOOLEAN,COLUMN,Y,,N,N,,,,,
HAS_CONTACT_INFO,BOOLEAN,COLUMN,Y,,N,N,,,,,
